603056.SH,德邦股份
603077.SH,和邦生物
603087.SH,甘李药业
603127.SH,昭衍新药
603156.SH,养元饮品
603160.SH,汇顶科技
603179.SH,新泉股份
603185.SH,弘元绿能
603218.SH,日月股份
603225.SH,新凤鸣
603228.SH,景旺电子
603233.SH,大参林
603290.SH,斯达半导
603298.SH,杭叉集团
603305.SH,旭升集团
603317.SH,天味食品
603338.SH,浙江鼎力
603345.SH,安井食品
603379.SH,三美股份
603444.SH,吉比特
603456.SH,九洲药业
603486.SH,科沃斯
603517.SH,绝味食品
603529.SH,爱玛科技
603568.SH,伟明环保
603589.SH,口子窖
603596.SH,伯特利
603606.SH,东方电缆
603650.SH,彤程新材
603658.SH,安图生物
603688.SH,石英股份
603707.SH,健友股份
603712.SH,七一二
603728.SH,鸣志电器
603737.SH,三棵树
603786.SH,科博达
603816.SH,顾家家居
603826.SH,坤彩科技
603858.SH,步长制药
603868.SH,飞科电器
603882.SH,金域医学
603883.SH,老百姓
603885.SH,吉祥航空
603893.SH,瑞芯微
603927.SH,中科软
603939.SH,益丰药房
603979.SH,金诚信
605358.SH,立昂微
688002.SH,睿创微纳
688005.SH,容百科技
688006.SH,杭可科技
688017.SH,绿的谐波
688029.SH,南微医学
688032.SH,禾迈股份
688052.SH,纳芯微
688063.SH,派能科技
688065.SH,凯赛生物
688099.SH,晶晨股份
688107.SH,安路科技
688114.SH,华大智造
688120.SH,华海清科
688122.SH,西部超导
688153.SH,唯捷创芯
688169.SH,石头科技
688172.SH,燕东微
688180.SH,君实生物-U
688188.SH,柏楚电子
688200.SH,华峰测控
688213.SH,思特威-W
688220.SH,翱捷科技-U
688234.SH,天岳先进
688248.SH,南网科技
688276.SH,百克生物
688281.SH,华秦科技
688295.SH,中复神鹰
688297.SH,中无人机
688301.SH,奕瑞科技
688331.SH,荣昌生物
688348.SH,昱能科技
688349.SH,三一重能
688375.SH,国博电子
688385.SH,复旦微电
688387.SH,信科移动-U
688390.SH,固德威
688425.SH,铁建重工
688475.SH,萤石网络
688516.SH,奥特维
688520.SH,神州细胞-U
688521.SH,芯原股份
688525.SH,佰维存储
688536.SH,思瑞浦
688538.SH,和辉光电-U
688561.SH,奇安信-U
688567.SH,孚能科技
688617.SH,惠泰医疗
688772.SH,珠海冠宇
688777.SH,中控技术
688778.SH,厦钨新能
688779.SH,五矿新能
688819.SH,天能股份
689009.SH,九号公司-WD
