688518.SH,联赢激光
688519.SH,南亚新材
688520.SH,神州细胞
688521.SH,芯原股份
688522.SH,纳睿雷达
688523.SH,航天环宇
688525.SH,佰维存储
688526.SH,科前生物
688528.SH,秦川物联
688529.SH,豪森智能
688530.SH,欧莱新材
688531.SH,日联科技
688533.SH,上声电子
688535.SH,华海诚科
688536.SH,思瑞浦
688538.SH,和辉光电-U
688539.SH,高华科技
688543.SH,DR国科军
688545.SH,兴福电子
688548.SH,广钢气体
688549.SH,中巨芯-U
688550.SH,瑞联新材
688551.SH,科威尔
688552.SH,航天南湖
688553.SH,汇宇制药-W
688556.SH,高测股份
688557.SH,兰剑智能
688558.SH,XD国盛智
688559.SH,海目星
688560.SH,明冠新材
688561.SH,奇安信-U
688562.SH,航天软件
688563.SH,航材股份
688565.SH,力源科技
688566.SH,吉贝尔
688567.SH,孚能科技
688568.SH,中科星图
688569.SH,铁科轨道
688570.SH,天玛智控
688571.SH,杭华股份
688573.SH,信宇人
688575.SH,亚辉龙
688576.SH,西山科技
688577.SH,浙海德曼
688578.SH,艾力斯
688579.SH,山大地纬
688580.SH,伟思医疗
688581.SH,安杰思
688582.SH,芯动联科
688583.SH,思看科技
688584.SH,上海合晶
688585.SH,上纬新材
688586.SH,江航装备
688588.SH,凌志软件
688589.SH,力合微
688590.SH,新致软件
688591.SH,泰凌微
688592.SH,司南导航
688593.SH,新相微
688595.SH,芯海科技
688596.SH,正帆科技
688597.SH,煜邦电力
688598.SH,金博股份
688599.SH,天合光能
688600.SH,皖仪科技
688601.SH,力芯微
688602.SH,康鹏科技
688603.SH,天承科技
688605.SH,先锋精科
688606.SH,奥泰生物
688607.SH,康众医疗
688608.SH,恒玄科技
688609.SH,九联科技
688610.SH,埃科光电
688611.SH,杭州柯林
688612.SH,威迈斯
688613.SH,奥精医疗
688615.SH,合合信息
688616.SH,西力科技
688617.SH,惠泰医疗
688618.SH,三旺通信
688619.SH,罗普特
688620.SH,安凯微
688621.SH,阳光诺和
688622.SH,禾信仪器
688623.SH,双元科技
688625.SH,呈和科技
688626.SH,翔宇医疗
688627.SH,精智达
688628.SH,优利德
688629.SH,华丰科技
688630.SH,芯碁微装
688631.SH,莱斯信息
